timestamp,message
2021-08-17 14:11:04.14,User called action /login with arguments (test test) and returned status FAIL.
2021-08-17 14:11:51.13,User called action /login with arguments (admin admin) and returned status SUCCESS.
2021-08-17 15:08:16.032,User called action /login with arguments (admin admin) and returned status SUCCESS.
